PZN;Wirkstoffe;Artikelname (Hauptbegriff);Anbietername;Volumen (Bezugsgröße);Einh. (Bezugsgr.);Menge;Einh.;PpU (APU exkl. NBR);NBR;Erstattungsb.;APU / HAP;Taxe-EK;HR ges.;Ges. VK;V;DRF-Bez.;Aufnahme;Wirkstoffe und Mengen
09916870;Brentuximab vedotin;ADCETRIS;Takeda;;;1;St;3968;941,56;3026,44;3026,44;3064,94;211,85;3766,89;;Pulver zur Herstellung eines Infusionslösungskonzentrates;01.12.2012;Brentuximab vedotin 50 mg
10284240;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;42;St;1538,5;496,06;1042,44;1042,44;1075,98;0;1329,02;;Filmtabletten;01.05.2014;Riociguat 0,5 mg
10002833;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;42;St;1538,5;496,06;1042,44;1042,44;1075,98;0;1329,02;;Filmtabletten;01.05.2014;Riociguat 1 mg
10002856;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;84;St;3077;992,12;2084,88;2084,88;2123,38;0;2612,81;;Filmtabletten;01.05.2014;Riociguat 1 mg
10002862;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;42;St;1538,5;496,06;1042,44;1042,44;1075,98;0;1329,02;;Filmtabletten;01.05.2014;Riociguat 1,5 mg
10002879;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;84;St;3077;992,12;2084,88;2084,88;2123,38;0;2612,81;;Filmtabletten;01.05.2014;Riociguat 1,5 mg
10002885;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;42;St;1538,5;496,06;1042,44;1042,44;1075,98;0;1329,02;;Filmtabletten;01.05.2014;Riociguat 2 mg
10002891;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;84;St;3077;992,12;2084,88;2084,88;2123,38;0;2612,81;;Filmtabletten;01.05.2014;Riociguat 2 mg
10757247;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;294;St;10769,22;3472,14;7297,08;7297,08;7335,58;0;9001,41;;Filmtabletten;15.01.2015;Riociguat 2 mg
10002916;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;42;St;1538,5;496,06;1042,44;1042,44;1075,98;0;1329,02;;Filmtabletten;01.05.2014;Riociguat 2,5 mg
10002922;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;84;St;3077;992,12;2084,88;2084,88;2123,38;0;2612,81;;Filmtabletten;01.05.2014;Riociguat 2,5 mg
10757276;Riociguat;ADEMPAS;MSD Sharp&Dohme;;;294;St;10769,22;3472,14;7297,08;7297,08;7335,58;0;9001,41;;Filmtabletten;15.01.2015;Riociguat 2,5 mg
12571860;Rurioctocog alfa pegol;ADYNOVI;Shire;;;1;St;292,5;67;225,5;225,5;233,3;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.12.2018;Rurioctocog alfa pegol 250 I.E.
12571877;Rurioctocog alfa pegol;ADYNOVI;Shire;;;1;St;585;134;451;451;465,91;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.02.2018;Rurioctocog alfa pegol 500 I.E.
12571883;Rurioctocog alfa pegol;ADYNOVI;Shire;;;1;St;1170;268;902;902;931,11;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.02.2018;Rurioctocog alfa pegol 1000 I.E.
12571908;Rurioctocog alfa pegol;ADYNOVI;Shire;;;1;St;2340;536;1804;1804;1842,5;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;15.02.2018;Rurioctocog alfa pegol 2000 I.E.
12503522;Lonoctocog alfa;AFSTYLA;CSL Behring;;;1;St;272,5;40,5;232;232;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.02.2017;Lonoctocog alfa 250 I.E.
12503539;Lonoctocog alfa;AFSTYLA;CSL Behring;;;1;St;545;81;464;464;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.02.2017;Lonoctocog alfa 500 I.E.
12503545;Lonoctocog alfa;AFSTYLA;CSL Behring;;;1;St;1090;162;928;928;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.02.2017;Lonoctocog alfa 1000 I.E.
12503597;Lonoctocog alfa;AFSTYLA;CSL Behring;;;1;St;1635;243;1392;1392;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.02.2017;Lonoctocog alfa 1500 I.E.
12503574;Lonoctocog alfa;AFSTYLA;CSL Behring;;;1;St;2180;324;1856;1856;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.02.2017;Lonoctocog alfa 2000 I.E.
12503580;Lonoctocog alfa;AFSTYLA;CSL Behring;;;1;St;3270;486;2784;2784;0;0;0;;Pulver u. Lösungsmittel zur Herstellung einer Injektionslsg.;01.02.2017;Lonoctocog alfa 3000 I.E.
14236568;Erenumab;AIMOVIG;Novartis Pharma;;;1;St;535,76;152,4;383,36;383,36;396,14;26,84;495,73;;Injektionslösung;01.11.2018;Erenumab 70 mg
14292176;Erenumab;AIMOVIG;Novartis Pharma;;;3X1;St;1607,28;457,2;1150,08;1150,08;1187,01;80,51;1465,1;;Injektionslösung;01.11.2018;Erenumab 70 mg
14441788;Erenumab;AIMOVIG;Novartis Pharma;;;1;St;535,76;152,4;383,36;383,36;396,14;26,84;495,73;;Injektionslösung;01.06.2019;Erenumab 140 mg
14441794;Erenumab;AIMOVIG;Novartis Pharma;;;3X1;St;1607,28;457,2;1150,08;1150,08;1187,01;80,51;1465,1;;Injektionslösung;01.06.2019;Erenumab 140 mg
14338808;Fremanezumab;AJOVY;Teva;1,5;ml;1;St;383,36;0;0;383,36;396,14;26,84;495,73;;Injektionslösung;15.05.2019;Fremanezumab 225 mg
14338814;Fremanezumab;AJOVY;Teva;1,5;ml;3;St;1150,08;0;0;1150,08;1187,01;80,51;1465,1;;Injektionslösung;15.05.2019;Fremanezumab 225 mg
11175406;Netupitant | Palonosetron hydrochlorid;AKYNZEO;Riemser;;;1;St;125;63,56;61,44;61,44;64,08;0;88,73;;Hartkapseln;15.08.2015;Netupitant 300 mg | Palonosetron hydrochlorid 0,562 mg
